statenum,states,hashtag_text
4,"North Carolina,Ohio,Texas,Kansas",HB2
4,"Mississippi,Iowa,New Hampshire,Wisconsin",Hillary
4,"Pennsylvania,Wisconsin,Alaska,Montana",medicaidexpansion
4,"Ohio,South Carolina,Iowa,Pennsylvania",MedicalMarijuana
4,"Florida,Michigan,Texas,Colorado",mentalhealth
4,"Missouri,Arizona,Iowa,Kansas",moleg
4,"Idaho,Wisconsin,Nebraska,Florida",MondayMotivation
4,"Indiana,Florida,Louisiana,Mississippi",NationalDayofPrayer
4,"Michigan,California,Pennsylvania,Alaska",NationalPuppyDay
4,"Idaho,West Virginia,Iowa,Wisconsin",NeverHillary
4,"Louisiana,Rhode Island,Oregon,Nebraska",NewYear
4,"Michigan,Pennsylvania,Texas,Massachusetts",NewYorkValues
4,"Michigan,South Carolina,Illinois,Kansas",Obama
4,"North Carolina,Nebraska,Virginia,Wisconsin",OMGOP
4,"Indiana,Colorado,Delaware,Wisconsin",PiDay
4,"Colorado,Georgia,Pennsylvania,Missouri",Prince
4,"Minnesota,Oregon,Maryland,Nebraska",Proud
4,"Connecticut,Pennsylvania,Ohio,Colorado",PTSD
4,"Pennsylvania,Colorado,Connecticut,West Virginia",ReadAcrossAmerica
4,"South Carolina,Mississippi,Idaho,Colorado",rip
4,"Connecticut,Kentucky,West Virginia,Colorado",SB2
4,"New Jersey,Ohio,Arizona,Michigan",Senate
4,"Wisconsin,North Carolina,Michigan,Louisiana",SOTU16
4,"Colorado,Wisconsin,Michigan,Virginia",StandWithPP
4,"Virginia,Florida,Nebraska,Wisconsin",StopGunViolence
4,"Indiana,Texas,Wisconsin,Missouri",SuperSaturday
4,"New Mexico,North Carolina,New Jersey,Pennsylvania",tax
4,"Illinois,Louisiana,New York,Michigan",taxes
4,"Indiana,Ohio,Colorado,Michigan",TeacherAppreciationWeek
4,"Pennsylvania,Colorado,Connecticut,Maryland",Transportation
4,"Nebraska,South Dakota,Virginia,West Virginia",VoteDemocrat
4,"Michigan,Nebraska,Illinois,North Carolina",WHCD2016
4,"Texas,Florida,New Mexico,Nebraska",ZikaVirus
3,"Colorado,Delaware,Wisconsin",7in10forRoe
3,"Mississippi,Colorado,Indiana",AgDay
3,"Indiana,Mississippi,California",agday2016
3,"Colorado,Indiana,Pennsylvania",Agriculture
3,"Maryland,Colorado,Pennsylvania",Bipartisan
3,"Wisconsin,Ohio,Mississippi",BrusselsAttacks
3,"Florida,North Carolina,Pennsylvania",CancerMoonshot
3,"California,Oregon,Florida",CesarChavezDay
3,"Pennsylvania,Washington,Indiana",civilrights
3,"Maryland,Tennessee,Nebraska",cjreform
3,"Nebraska,Wisconsin,Colorado",cleanenergy
3,"Wyoming,Colorado,Arizona",CleanPowerPlan
3,"Pennsylvania,California,Ohio",communitycollege
3,"Alaska,Nevada,Colorado",Constitution
3,"Colorado,Nebraska,Tennessee",copolitics
3,"New York,Rhode Island,South Carolina",Corruption
3,"Florida,Kansas,Missouri",CubaVisit
3,"Wyoming,Arizona,Maine",darkmoney
3,"Arizona,Pennsylvania,West Virginia",DavidBowie
3,"Colorado,Nebraska,Wisconsin",Dems
3,"Tennessee,Mississippi,Arizona",Easter
3,"Louisiana,Pennsylvania,Ohio",electionday
3,"Tennessee,California,New Jersey",FightFor15
3,"Ohio,Missouri,Michigan",FlashbackFriday
3,"Nebraska,Pennsylvania,California",GetCovered
3,"Florida,Nebraska,Pennsylvania",GOPDebates
3,"Connecticut,Pennsylvania,Kentucky",GRAMMYs
3,"Rhode Island,South Carolina,Iowa",GunControl
3,"Pennsylvania,Kentucky,Missouri",HappeningNow
3,"Pennsylvania,Ohio,Indiana",HappyEaster
3,"Nebraska,Wisconsin,Virginia",HBD
3,"Missouri,Idaho,Mississippi",HeIsRisen
3,"Iowa,South Dakota,Wisconsin",IAcaucus2016
3,"Arizona,New Mexico,Texas",immigration
3,"Wisconsin,Iowa,North Carolina",ImWithHucK
3,"Nebraska,Louisiana,West Virginia",irresponsible
3,"Kansas,Missouri,Iowa",ksleg
3,"West Virginia,Florida,Arizona",LetsDoThis
3,"Colorado,Virginia,Wisconsin",LoveIsLove
3,"North Carolina,West Virginia,Wisconsin",MakeAmericaGreatAgain
3,"Missouri,Tennessee,Ohio",MarchForLife
3,"Maine,Wyoming,Vermont",mepolitics
3,"Missouri,Wisconsin,Iowa",MOSen
3,"Montana,Wyoming,Arizona",mtpol
3,"North Carolina,South Dakota,Florida",MVP
3,"Wyoming,Colorado,West Virginia",natgas
3,"Kansas,Arizona,Pennsylvania",NationalChampionship
3,"California,Texas,Nevada",NVcaucus
3,"Nebraska,North Carolina,Michigan",outoftouch
3,"Kentucky,Pennsylvania,Michigan",pension
3,"Tennessee,Michigan,Colorado",PeytonManning
3,"Vermont,Colorado,Rhode Island",pot
3,"Illinois,Missouri,Tennessee",pro
3,"South Carolina,Michigan,Arizona",Sanders
3,"Kentucky,Colorado,Alaska",SB113
3,"Colorado,Arizona,Louisiana",shameful
3,"Colorado,Alaska,Michigan",Shocking
3,"Missouri,Arizona,Iowa",SJR39
3,"Michigan,Kentucky,California",SOTC2016
3,"Michigan,Connecticut,Arizona",STEM
3,"New Mexico,Florida,Virginia",StopTrump
3,"Michigan,Ohio,California",students
3,"Ohio,Colorado,Michigan",Teachers
3,"Texas,Idaho,Georgia",TedCruz
3,"Wisconsin,Nebraska,Pennsylvania",ThankATeacher
3,"North Carolina,Indiana,Missouri",ThrowbackThursday
3,"Wisconsin,Michigan,Washington",TPP
3,"Virginia,Wyoming,Florida",Virginia
3,"Wyoming,Nebraska,Arizona",Vote2016
3,"West Virginia,South Dakota,Wisconsin",voteblue
3,"Washington,Nebraska,Maryland",votingrights
3,"Wisconsin,Nebraska,Delaware",WayBackWednesday
3,"Wisconsin,Alabama,Nebraska",WeNeedNine
3,"Tennessee,Wisconsin,Illinois",WisconsinPrimary
3,"Michigan,Rhode Island,Wyoming",YUGE
2,"Idaho,Rhode Island",2ndAmendment
2,"Illinois,Idaho",AbrahamLincoln
2,"Wisconsin,Nevada",ACAworks
2,"Florida,Texas",AHCJ16
2,"Iowa,Wisconsin",analysis
2,"Arizona,Wisconsin",Arizona
2,"Georgia,Ohio",Athens
2,"Texas,Pennsylvania",autism
2,"South Carolina,Rhode Island",BadAssReporting
2,"North Carolina,Wisconsin",Badgers
2,"Iowa,Minnesota",Bakken
2,"Nebraska,Mississippi",Belgium
2,"Rhode Island,Arizona",BernieSanders
2,"Iowa,Tennessee",BidenRule
2,"Maryland,Colorado",bipartisanship
2,"Alaska,Colorado",birthcontrol
2,"Michigan,South Carolina",BlackLivesMatter
2,"Pennsylvania,Rhode Island",blizzard2016
2,"New Hampshire,Massachusetts",BostonStrong
2,"California,North Carolina",Break
2,"Colorado,South Dakota",Broncos
2,"Missouri,New Hampshire",BrooklynBrawl
2,"Arizona,New York",Budget2016
2,"West Virginia,Arizona",CactusBowl
2,"New Jersey,California",CAMinWage
2,"Colorado,Nevada",Caucus2016
2,"Arizona,California",CesarChavez
2,"Pennsylvania,Kentucky",charterschool
2,"Wyoming,South Carolina",chicago
2,"Colorado,Oregon",climate
2,"Michigan,South Carolina",Clinton
2,"Colorado,California",college
2,"Florida,South Carolina",Columbia
2,"Mississippi,Wisconsin",CommonCore
2,"Michigan,Maryland",commonsense
2,"Wisconsin,Nevada",community
2,"New Mexico,Nevada",congress
2,"Arizona,West Virginia",Conservative
2,"New Jersey,Arizona",Convenient
2,"Idaho,Indiana",CPAC
2,"Washington,Georgia",crime
2,"Ohio,South Carolina",criminaljustice
2,"Louisiana,Florida",CriminalJusticeReform
2,"Wisconsin,Rhode Island",CruzCrew
2,"Connecticut,Illinois",CTPrimary
2,"Wisconsin,Florida",Cuba
2,"California,Nebraska",DACA
2,"South Carolina,Colorado",DC
2,"Ohio,Nebraska",DeathPenalty
2,"Colorado,Illinois",debt
2,"Colorado,South Dakota",Dem
2,"Iowa,Florida",demforum
2,"Maryland,Colorado",democratic
2,"South Carolina,Pennsylvania",democraticdebate
2,"Louisiana,Virginia",DemsInPhilly
2,"Massachusetts,Colorado",Denver
2,"Arizona,Ohio",diabetes
2,"Michigan,Nebraska",DickCheney
2,"Florida,Wisconsin",DoYourJobFriday
2,"Florida,Alaska",DropTheSuit
2,"Wisconsin,Iowa",Dubuque
2,"South Carolina,North Carolina",duke
2,"North Carolina,New Hampshire",dumpsterfire
2,"Nebraska,Arizona",DumpTrump
2,"New York,Nebraska",EarlyChildhood
2,"New York,Ohio",economy
2,"Nebraska,Connecticut",EITC
2,"Ohio,Wisconsin",ENDALZ
2,"Nebraska,Virginia",Equality
2,"Michigan,Louisiana",Facebook
2,"Nebraska,Wisconsin",factivists
2,"Michigan,Nebraska",Facts
2,"Colorado,Arizona",fantasysports
2,"North Carolina,Wyoming",feeltheburn
2,"Kansas,South Carolina",FinalFour
2,"Wisconsin,Virginia",FindYourPark
2,"Michigan,Wisconsin",FlintTownHall
2,"Nebraska,Indiana",FLOTUS
2,"California,Florida",FLPrimary
2,"North Carolina,Wisconsin",FoxNews
2,"Missouri,New Jersey",FreeJason
2,"California,Ohio",Friedrichs
2,"Arizona,Colorado",FutureLeaders
2,"Georgia,Alabama",gapol
2,"Florida,New Hampshire",GOPLiberty
2,"Oregon,Nebraska",green
2,"Pennsylvania,Connecticut",gunsafety
2,"Alaska,Tennessee",gunsoncampus
2,"Colorado,Pennsylvania",gunviolence
2,"Pennsylvania,Iowa",Hamilton
2,"Wisconsin,Florida",HandsOffMyBC
2,"Nevada,Indiana",HappyMothersDay
2,"Colorado,Indiana",HB1001
2,"Alaska,Kentucky",HB314
2,"Ohio,New Mexico",health
2,"Florida,Nebraska",healthcare
